id,GMSTP,SRSTR,PLHTN,HER
EMF0600741965,23.41,6,NA,NA
EMF2200590602,26.88,5.5,296.92,0.38
EMF2201896077,25.14,5.32,297.17,0.39
EMF2000987181,25.1,5.06,284.66,0.39
EMF2000987599,27.96,5.94,277.14,0.41
EMF2000987505,26.16,5.75,299.48,0.39
EMF2000987455,31.11,6.11,292.97,0.39
EMF2100769648,27.13,5.56,297.59,0.36
EMF2100289857,30.35,4.96,289.49,0.38
EMF2100289555,27.2,5.81,299.98,0.38
EMF2000987191,29.86,6.11,290.99,0.35
EMF2200588424,27.66,5.32,302.21,0.37
EMF2200588631,26.94,4.13,295.21,0.4
EMF1400782931,22.9,5.22,315.09,0.38
EMF2100770710,25.73,6.92,292.74,0.37
EMF2200591146,27.65,5.42,303.9,0.37
EMF2200591425,23.47,5.85,304.22,0.39
EMF2200590039,25.89,5.9,295.94,0.38
EMF2100770198,24.63,6.38,302.43,0.36
EMF2100770659,25.21,6.4,297.91,0.35
EMF2001301319,25.09,5.52,281,0.38
EMF2200590121,25.6,5.43,303.63,0.37
EMF2201896514,30.48,4.57,279.8,0.41
EMF2201896224,25.72,5.87,290.34,0.39
EMF2000987069,27.5,6.49,309.14,0.37
EMF2000987482,26.67,5.42,305.98,0.36
EMF2200589671,27.25,5.07,311.3,0.36
EMF2000306561,27.99,6.81,294.45,0.33
EMF2000302744,26.98,6.91,317.6,0.38
EMF2001299363,27.69,4.96,317.02,0.38
EMF2200589751,23.55,5.11,312.11,0.32
EMF2201896503,30.31,5.87,296.24,0.38
EMF2200590960,29.8,5.41,295.7,0.33
EMF2200588257,27.15,4.65,301.36,0.36
EMF2200587500,26.03,5.74,311.25,0.39
EMF2200488848,31.49,5.03,302.1,0.38
EMF2100288974,27.14,5.75,291.52,0.36
EMF2100289208,29.19,5.14,305.93,0.4
EMF1900570179,24.63,4.74,302.79,0.38
EMF2100656337,28.31,4.53,313.23,0.38
EMF2200590866,29.49,4.84,291.51,0.36
EMF2000310957,27.28,5.86,312.36,0.37
EMF2000313482,27.29,4.51,296.92,0.38
EMF1800482034,25.14,5.44,298.83,0.37
EMF2200589120,25.63,5.14,283.28,0.32
EMF2000229607,27.69,6.13,297.19,0.39
EMF2100288907,27.21,6.57,303.91,0.4
EMF2100770698,26.17,6.61,297.25,0.37
EMF2200590928,26.09,5.57,309.49,0.34
EMF2100288739,28.15,4.83,302.09,0.38
EMF2200589191,26.54,5.28,300.68,0.35
EMF2000987499,27.41,5.94,298.11,0.37
EMF2000315688,27.53,5.66,310.43,0.36
EMF2000311805,28.3,6.33,336.68,0.35
EMF2001287564,28.67,5.76,321.19,0.36
EMF2201896510,29.85,4.92,310.94,0.34
EMF2200588934,28.22,5.32,311.38,0.37
EMF2000514565,26.41,6.29,313.07,0.37
EMF2200588856,26.58,6.16,286.93,0.39
EMF2001643348,31.11,5.94,290.2,0.37
EMF2001642688,29.82,5.94,268.43,0.37
EMF2200587387,28.57,6.95,295.95,0.35
EMF2001779399,30.11,5.94,295.34,0.38
EMF2200587371,28.67,5.06,301.78,0.37
EMF2200591190,29.49,5.09,305.94,0.35
EMF2000514354,26.99,5.47,299.2,0.38
EMF2201896358,25.43,4.54,291.5,0.36
EMF2200589539,27.35,5.41,299.63,0.41
EMF2000529204,24.08,5.38,296.5,0.38
EMF1400502434,28.13,NA,NA,NA
EMF2100288660,31.53,5.14,290.87,0.36
EMF2100288836,27.21,5.4,294.73,0.42
EMF2001300051,26.54,6.65,303.16,0.4
EMF1800684048,28.55,5.47,290.34,0.36
EMF2100288442,27.19,5.96,301.36,0.34
EMF2200591227,25.77,5.76,298.94,0.4
EMF2200589558,29.48,5.84,287.53,0.37
EMF2201896134,29.85,5.91,297.17,0.36
EMF2000987611,29.29,5.24,299.97,0.36
EMF2200591324,26.61,5.97,305.94,0.34
EMF2100288777,28.35,6.15,291.46,0.4
EMF2000514521,27.58,5.58,297.32,0.39
EMF2100770134,24.51,6.4,279.57,0.39
EMF2200587281,26.28,5.32,298.28,0.35
EMF2100635800,27.8,5.4,309.8,0.36
EMF2100846540,25.32,6.55,288.81,0.35
EMF2201896373,28,5.77,294.78,0.37
EMF2200590651,26.48,4.65,303.15,0.37
EMF2001302147,28.22,5.33,301.4,0.35
EMF2000313280,29.09,5.74,316.39,0.36
EMF2000316630,29.36,6.21,304.74,0.37
EMF2201896515,28.94,5.25,308.97,0.38
EMF2000314167,30.22,5.5,312.66,0.35
EMF2000529191,26.43,5.63,289.71,0.35
EMF1900737735,30.06,5.53,315.21,0.38
EMF2100775613,31.66,6.82,301.9,0.34
EMF2001642944,29.23,5.8,286.87,0.35
EMF2100775160,25,7.14,285.57,0.34
EMF2201896475,25.45,5.06,303.29,0.39
EMF2200590533,29.14,5.34,294.65,0.35
EMF2200589894,30.57,5.97,303.15,0.37
EMF2100625856,24.75,5.44,284.32,0.36
EMF2200589533,30.69,4.65,288.41,0.37
EMF2201896108,27.81,5.31,295.58,0.38
EMF2200590558,26,6.34,296.1,0.38
EMF2200590367,24.19,5.35,301.56,0.35
EMF2100770671,30.57,3.87,292.09,0.39
EMF2100289188,32,3.56,323.46,0.37
EMF2100770508,30.58,4.79,297.99,0.38
EMF2100770097,32.8,4.98,290.81,0.35
EMF2000529218,26.82,6.09,312.27,0.37
EMF2100769652,25.73,6.4,301.18,0.37
EMF1600627401,25.57,6.78,NA,NA
EMF1700679136,26.34,6.36,NA,NA
EMF2200591457,27.63,6.85,302.67,0.34
EMF2200587777,29.13,5.32,285.15,0.38
EMF2201896058,33.68,6.23,281.97,0.41
EMF2100239281,24.29,4.03,309.23,0.38
EMF2000529213,28.04,6.65,297.23,0.37
EMF2001262663,26.55,5.52,267.94,0.34
EMF2100674157,31.39,4.32,307.41,0.37
EMF2100774757,26.12,6.92,298.64,0.35
EMF2200588442,22.91,5.43,287.91,0.39
EMF2200589215,23.55,5.14,323.9,0.34
EMF2201896288,26.24,5.57,290.49,0.35
EMF1600413640,31.5,5.44,289,0.41
EMF2001265208,27.73,6.7,289.69,0.35
EMF2100000529,23.13,5.47,296.24,0.38
EMF2001429073,29.18,5.98,285.63,0.35
EMF2100655000,26.75,5.53,294.8,0.37
EMF2100656712,27.97,5.53,298.73,0.38
EMF2001453867,24.43,6.41,301.47,0.36
EMF2100655768,28.33,4.92,303.97,0.36
EMF2100655239,28.13,5.19,292.64,0.38
EMF2100656820,29.13,4.84,297,0.37
EMF2100654997,28.18,5.83,302.01,0.4
EMF2100655467,29.82,5.13,303.98,0.39
EMF2001515371,27.34,4.96,300.79,0.37
EMF2200587929,24.17,5.43,306.18,0.34
EMF2100247322,28.71,5.4,319.63,0.38
EMF2100770675,30.24,4.78,297.33,0.39
